title = "The original data"
variables ="NO", "q1","q2","q3","q4","output"
zone T = "yplus=2.7183-4.4817"
92   0.724009   -0.004583   -0.021742   1.331311   0.002201   
93   0.654587   -0.004978   -0.020456   1.289535   0.001922   
94   0.585427   -0.005313   -0.019156   1.244726   0.001663   
95   0.517018   -0.005568   -0.017802   1.196910   0.001421   
52920   0.213436   0.000268   -0.000212   0.138948   0.000032   
53028   -0.001427   0.001161   0.001270   0.419193   0.000002   
53330   0.213479   0.000401   -0.000317   0.140178   0.000018   
53331   0.213393   0.000662   -0.000517   0.132337   0.000018   
53332   0.214138   0.000969   -0.000760   0.134693   0.000019   
53438   -0.001420   0.001020   0.001118   0.421453   0.000001   
53737   0.211798   -0.000539   0.000554   0.362163   0.000000   
53740   0.213425   -0.000022   0.000017   0.124217   0.000009   
53741   0.213361   0.000246   -0.000191   0.125700   0.000009   
53742   0.214106   0.000537   -0.000420   0.133470   0.000011   
53743   0.214516   0.000828   -0.000650   0.136150   0.000013   
53744   0.215024   0.001062   -0.000836   0.137250   0.000016   
53745   0.215541   0.001251   -0.000984   0.137640   0.000020   
53746   0.216103   0.001407   -0.001107   0.137696   0.000023   
53747   0.216703   0.001549   -0.001219   0.137578   0.000027   
53748   0.217342   0.001689   -0.001329   0.137371   0.000031   
53846   -0.001093   -0.001507   -0.001728   0.462300   0.000001   
53847   -0.001417   0.000839   0.000922   0.423061   0.000001   
54146   0.211792   -0.000108   0.000100   0.272541   0.000000   
54149   0.213377   0.000389   -0.000305   0.133726   0.000005   
54150   0.214124   0.000598   -0.000469   0.135946   0.000005   
54151   0.214542   0.000819   -0.000644   0.137226   0.000007   
54152   0.215060   0.000997   -0.000785   0.137812   0.000008   
54153   0.215584   0.001144   -0.000900   0.137982   0.000010   
54154   0.216152   0.001268   -0.000998   0.137936   0.000012   
54155   0.216755   0.001383   -0.001088   0.137770   0.000014   
54156   0.217397   0.001498   -0.001179   0.137539   0.000016   
54157   0.218081   0.001619   -0.001274   0.137267   0.000019   
54158   0.218808   0.001749   -0.001375   0.136968   0.000021   
54159   0.219587   0.001889   -0.001485   0.136652   0.000024   
54160   0.220422   0.002039   -0.001601   0.136311   0.000028   
54161   0.221316   0.002198   -0.001726   0.135945   0.000032   
